project;class;from;to;metric
PMD;net.sourceforge.pmd.cpd.FortranTokenizer;List;Map;1.0
PMD;net.sourceforge.pmd.cpd.FortranTokenizer;List;Set;0.0
PMD;net.sourceforge.pmd.cpd.GUI.ColumnSpec;Map;List;1.0
PMD;net.sourceforge.pmd.cpd.GUI.ColumnSpec;Map;Set;1.0
PMD;net.sourceforge.pmd.cpd.GUI.SaveListener;List;Map;0.93
PMD;net.sourceforge.pmd.cpd.GUI.SaveListener;List;Set;0.0
PMD;net.sourceforge.pmd.cpd.GUI;List;Map;0.73
PMD;net.sourceforge.pmd.cpd.GUI;List;Set;0.0
PMD;net.sourceforge.pmd.cpd.GUI;Map;List;0.0
PMD;net.sourceforge.pmd.cpd.GUI;Map;Set;1.0
PMD;net.sourceforge.pmd.cpd.GUI;Set;List;0.0
PMD;net.sourceforge.pmd.cpd.GUI;Set;Map;0.97
PMD;net.sourceforge.pmd.cpd.Match;Set;List;0.0
PMD;net.sourceforge.pmd.cpd.Match;Set;Map;0.97
PMD;net.sourceforge.pmd.cpd.MatchAlgorithm;List;Map;0.66
PMD;net.sourceforge.pmd.cpd.MatchAlgorithm;List;Set;0.6
PMD;net.sourceforge.pmd.cpd.MatchAlgorithm;Map;List;0.68
PMD;net.sourceforge.pmd.cpd.MatchAlgorithm;Map;Set;1.0
PMD;net.sourceforge.pmd.cpd.MatchCollector;List;Map;0.31
PMD;net.sourceforge.pmd.cpd.MatchCollector;List;Set;0.6
PMD;net.sourceforge.pmd.cpd.MatchCollector;Map;List;0.54
PMD;net.sourceforge.pmd.cpd.MatchCollector;Map;Set;0.81
PMD;net.sourceforge.pmd.cpd.MatchCollector;Set;List;0.0
PMD;net.sourceforge.pmd.cpd.MatchCollector;Set;Map;0.8
PMD;net.sourceforge.pmd.cpd.PHPTokenizer;List;Map;0.0
PMD;net.sourceforge.pmd.cpd.PHPTokenizer;List;Set;0.85
PMD;net.sourceforge.pmd.cpd.RubyTokenizer;List;Map;1.0
PMD;net.sourceforge.pmd.cpd.RubyTokenizer;List;Set;0.0
PMD;net.sourceforge.pmd.cpd.SourceCode.CodeLoader;List;Map;1.0
PMD;net.sourceforge.pmd.cpd.SourceCode.CodeLoader;List;Set;0.0
PMD;net.sourceforge.pmd.cpd.SourceCode;List;Map;0.0
PMD;net.sourceforge.pmd.cpd.SourceCode;List;Set;0.85
PMD;net.sourceforge.pmd.cpd.TokenEntry;Map;List;0.31
PMD;net.sourceforge.pmd.cpd.TokenEntry;Map;Set;0.62
PMD;net.sourceforge.pmd.cpd.Tokens;List;Map;0.66
PMD;net.sourceforge.pmd.cpd.Tokens;List;Set;0.6
PMD;net.sourceforge.pmd.dcd.DCD;List;Map;0.39
PMD;net.sourceforge.pmd.dcd.DCD;List;Set;0.6
PMD;net.sourceforge.pmd.dcd.DumpNodeVisitor;List;Map;0.0
PMD;net.sourceforge.pmd.dcd.DumpNodeVisitor;List;Set;0.0
PMD;net.sourceforge.pmd.dcd.UsageNodeVisitor;List;Map;0.0
PMD;net.sourceforge.pmd.dcd.UsageNodeVisitor;List;Set;0.0
PMD;net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor;List;Map;0.7
PMD;net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor;List;Set;0.0
PMD;net.sourceforge.pmd.dcd.graph.ClassNode;List;Map;1.0
PMD;net.sourceforge.pmd.dcd.graph.ClassNode;List;Set;0.0
PMD;net.sourceforge.pmd.dcd.graph.MemberNode;List;Map;1.0
PMD;net.sourceforge.pmd.dcd.graph.MemberNode;List;Set;0.0
PMD;net.sourceforge.pmd.dcd.graph.UsageGraph;List;Map;0.55
PMD;net.sourceforge.pmd.dcd.graph.UsageGraph;List;Set;0.67
PMD;net.sourceforge.pmd.dcd.graph.UsageGraphBuilder;List;Map;1.0
PMD;net.sourceforge.pmd.dcd.graph.UsageGraphBuilder;List;Set;0.0
PMD;net.sourceforge.pmd.dfa.DaaRule;List;Map;0.39
PMD;net.sourceforge.pmd.dfa.DaaRule;List;Set;0.6
PMD;net.sourceforge.pmd.dfa.DaaRule;Map;List;0.55
