project;class;from;to;metric
Jedit;org.gjt.sp.jedit.Macros;Map;Set;0.92
Jedit;org.gjt.sp.jedit.MiscUtilities.VarCompressor;Map;List;0.92
Jedit;org.gjt.sp.jedit.MiscUtilities.VarCompressor;Map;Set;1.0
Jedit;org.gjt.sp.jedit.MiscUtilities;List;Map;0.81
Jedit;org.gjt.sp.jedit.MiscUtilities;List;Set;0.91
Jedit;org.gjt.sp.jedit.MiscUtilities;Set;List;0.83
Jedit;org.gjt.sp.jedit.MiscUtilities;Set;Map;0.92
Jedit;org.gjt.sp.jedit.Mode;List;Map;1.0
Jedit;org.gjt.sp.jedit.Mode;List;Set;0.75
Jedit;org.gjt.sp.jedit.Mode;Map;List;0.84
Jedit;org.gjt.sp.jedit.Mode;Map;Set;0.92
Jedit;org.gjt.sp.jedit.OperatingSystem;Set;List;0.8
Jedit;org.gjt.sp.jedit.OperatingSystem;Set;Map;0.97
Jedit;org.gjt.sp.jedit.OptionGroup;List;Map;0.96
Jedit;org.gjt.sp.jedit.OptionGroup;List;Set;0.96
Jedit;org.gjt.sp.jedit.PluginJAR.PluginCacheEntry;Map;List;0.96
Jedit;org.gjt.sp.jedit.PluginJAR.PluginCacheEntry;Map;Set;0.96
Jedit;org.gjt.sp.jedit.PluginJAR;List;Map;0.98
Jedit;org.gjt.sp.jedit.PluginJAR;List;Set;0.77
Jedit;org.gjt.sp.jedit.PluginJAR;Set;List;0.67
Jedit;org.gjt.sp.jedit.PluginJAR;Set;Map;0.9
Jedit;org.gjt.sp.jedit.PropertyManager;List;Map;0.89
Jedit;org.gjt.sp.jedit.PropertyManager;List;Set;0.77
Jedit;org.gjt.sp.jedit.PropertyManager;Map;List;0.89
Jedit;org.gjt.sp.jedit.PropertyManager;Map;Set;0.89
Jedit;org.gjt.sp.jedit.ServiceListHandler;List;Map;0.98
Jedit;org.gjt.sp.jedit.ServiceListHandler;List;Set;0.88
Jedit;org.gjt.sp.jedit.ServiceManager;List;Map;0.96
Jedit;org.gjt.sp.jedit.ServiceManager;List;Set;0.79
Jedit;org.gjt.sp.jedit.ServiceManager;Map;List;0.87
Jedit;org.gjt.sp.jedit.ServiceManager;Map;Set;0.94
Jedit;org.gjt.sp.jedit.ServiceManager;Set;List;0.75
Jedit;org.gjt.sp.jedit.ServiceManager;Set;Map;0.96
Jedit;org.gjt.sp.jedit.View;List;Map;0.88
Jedit;org.gjt.sp.jedit.View;List;Set;0.82
Jedit;org.gjt.sp.jedit.View;Set;List;0.77
Jedit;org.gjt.sp.jedit.View;Set;Map;1.0
Jedit;org.gjt.sp.jedit.browser.BrowserCommandsMenu;List;Map;1.0
Jedit;org.gjt.sp.jedit.browser.BrowserCommandsMenu;List;Set;0.83
Jedit;org.gjt.sp.jedit.browser.BrowserCommandsMenu;Map;List;0.86
Jedit;org.gjt.sp.jedit.browser.BrowserCommandsMenu;Map;Set;1.0
Jedit;org.gjt.sp.jedit.browser.BrowserView;Set;List;0.8
Jedit;org.gjt.sp.jedit.browser.BrowserView;Set;Map;0.8
Jedit;org.gjt.sp.jedit.browser.VFSBrowser.DirectoryLoadedAWTRequest;List;Map;1.0
Jedit;org.gjt.sp.jedit.browser.VFSBrowser.DirectoryLoadedAWTRequest;List;Set;0.75
Jedit;org.gjt.sp.jedit.browser.VFSBrowser;List;Map;0.89
Jedit;org.gjt.sp.jedit.browser.VFSBrowser;List;Set;0.88
Jedit;org.gjt.sp.jedit.browser.VFSBrowser;Map;List;1.0
Jedit;org.gjt.sp.jedit.browser.VFSBrowser;Map;Set;1.0
Jedit;org.gjt.sp.jedit.browser.VFSDirectoryEntryTable;List;Map;0.96
Jedit;org.gjt.sp.jedit.browser.VFSDirectoryEntryTable;List;Set;0.79
Jedit;org.gjt.sp.jedit.browser.VFSDirectoryEntryTable;Set;List;0.77
Jedit;org.gjt.sp.jedit.browser.VFSDirectoryEntryTable;Set;Map;0.92
Jedit;org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel;List;Map;0.86
Jedit;org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel;List;Set;0.84
Jedit;org.gjt.sp.jedit.browser.VFSFileChooserDialog;List;Map;0.96
Jedit;org.gjt.sp.jedit.browser.VFSFileChooserDialog;List;Set;0.79
Jedit;org.gjt.sp.jedit.browser.VFSFileNameField;Set;List;0.8
Jedit;org.gjt.sp.jedit.browser.VFSFileNameField;Set;Map;0.8
Jedit;org.gjt.sp.jedit.bsh.BSHTryStatement;List;Map;0.93
Jedit;org.gjt.sp.jedit.bsh.BSHTryStatement;List;Set;0.92
Jedit;org.gjt.sp.jedit.bsh.BshClassManager;Map;List;0.84
Jedit;org.gjt.sp.jedit.bsh.BshClassManager;Map;Set;0.92
Jedit;org.gjt.sp.jedit.bsh.CallStack;List;Map;0.93
Jedit;org.gjt.sp.jedit.bsh.CallStack;List;Set;0.92
Jedit;org.gjt.sp.jedit.bsh.Capabilities;Map;List;0.86
Jedit;org.gjt.sp.jedit.bsh.Capabilities;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.ClassGeneratorImpl;List;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.ClassGeneratorImpl;List;Set;0.83
Jedit;org.gjt.sp.jedit.bsh.ClassGeneratorUtil;List;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.ClassGeneratorUtil;List;Set;0.83
Jedit;org.gjt.sp.jedit.bsh.CollectionManager;Map;List;0.86
Jedit;org.gjt.sp.jedit.bsh.CollectionManager;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.ExternalNameSpace;Map;List;0.8
Jedit;org.gjt.sp.jedit.bsh.ExternalNameSpace;Map;Set;0.86
Jedit;org.gjt.sp.jedit.bsh.ExternalNameSpace;Set;List;0.83
Jedit;org.gjt.sp.jedit.bsh.ExternalNameSpace;Set;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.JJTParserState;List;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.JJTParserState;List;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.Modifiers;Map;List;0.86
Jedit;org.gjt.sp.jedit.bsh.Modifiers;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.NameSpace;List;Map;0.86
Jedit;org.gjt.sp.jedit.bsh.NameSpace;List;Set;0.86
Jedit;org.gjt.sp.jedit.bsh.NameSpace;Map;List;0.86
Jedit;org.gjt.sp.jedit.bsh.NameSpace;Map;Set;0.92
Jedit;org.gjt.sp.jedit.bsh.ParseException;Map;List;1.0
Jedit;org.gjt.sp.jedit.bsh.ParseException;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.Primitive;Map;List;0.75
Jedit;org.gjt.sp.jedit.bsh.Primitive;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.Reflect;List;Map;0.96
Jedit;org.gjt.sp.jedit.bsh.Reflect;List;Set;0.83
Jedit;org.gjt.sp.jedit.bsh.StringUtil;List;Map;0.93
Jedit;org.gjt.sp.jedit.bsh.StringUtil;List;Set;0.92
Jedit;org.gjt.sp.jedit.bsh.Types;Map;List;0.75
Jedit;org.gjt.sp.jedit.bsh.Types;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.XThis;Map;List;0.86
Jedit;org.gjt.sp.jedit.bsh.XThis;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath.AmbiguousName;List;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath.AmbiguousName;List;Set;0.75
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath;List;Map;0.91
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath;List;Set;0.71
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath;Map;List;0.9
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath;Set;List;0.65
Jedit;org.gjt.sp.jedit.bsh.classpath.BshClassPath;Set;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl;List;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl;List;Set;0.75
Jedit;org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl;Map;List;0.9
Jedit;org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl;Map;Set;1.0
Jedit;org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl;Set;List;0.92
Jedit;org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl;Set;Map;1.0
Jedit;org.gjt.sp.jedit.bsh.collection.CollectionManagerImpl;Map;List;0.86
Jedit;org.gjt.sp.jedit.bsh.collection.CollectionManagerImpl;Map;Set;1.0
Jedit;org.gjt.sp.jedit.buffer.DefaultFoldHandlerProvider;Map;List;0.88
Jedit;org.gjt.sp.jedit.buffer.DefaultFoldHandlerProvider;Map;Set;0.97
Jedit;org.gjt.sp.jedit.buffer.DefaultFoldHandlerProvider;Set;List;0.92
Jedit;org.gjt.sp.jedit.buffer.DefaultFoldHandlerProvider;Set;Map;1.0
Jedit;org.gjt.sp.jedit.buffer.IndentFoldHandler;List;Map;1.0
Jedit;org.gjt.sp.jedit.buffer.IndentFoldHandler;List;Set;0.75
Jedit;org.gjt.sp.jedit.buffer.JEditBuffer;List;Map;0.86
Jedit;org.gjt.sp.jedit.buffer.JEditBuffer;List;Set;0.86
Jedit;org.gjt.sp.jedit.buffer.JEditBuffer;Map;List;0.87
Jedit;org.gjt.sp.jedit.buffer.JEditBuffer;Map;Set;0.94
Jedit;org.gjt.sp.jedit.buffer.KillRing;List;Map;0.93
Jedit;org.gjt.sp.jedit.buffer.KillRing;List;Set;0.92
Jedit;org.gjt.sp.jedit.buffer.PositionManager.PosBottomHalf;Map;List;0.8
Jedit;org.gjt.sp.jedit.buffer.PositionManager.PosBottomHalf;Map;Set;0.8
Jedit;org.gjt.sp.jedit.buffer.PositionManager;Map;List;0.91
Jedit;org.gjt.sp.jedit.buffer.PositionManager;Map;Set;0.98
Jedit;org.gjt.sp.jedit.buffer.PositionManager;Set;List;0.92
Jedit;org.gjt.sp.jedit.buffer.PositionManager;Set;Map;1.0
Jedit;org.gjt.sp.jedit.bufferio.BufferLoadRequest;List;Map;1.0
Jedit;org.gjt.sp.jedit.bufferio.BufferLoadRequest;List;Set;0.5
Jedit;org.gjt.sp.jedit.bufferio.BufferLoadRequest;Set;List;0.8
Jedit;org.gjt.sp.jedit.bufferio.BufferLoadRequest;Set;Map;0.97
Jedit;org.gjt.sp.jedit.bufferio.MarkersSaveRequest;List;Map;0.81
Jedit;org.gjt.sp.jedit.bufferio.MarkersSaveRequest;List;Set;0.91
Jedit;org.gjt.sp.jedit.bufferset.BufferSet;List;Map;0.87
Jedit;org.gjt.sp.jedit.bufferset.BufferSet;List;Set;0.8
Jedit;org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed;Set;List;0.86
Jedit;org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed;Set;Map;0.86
Jedit;org.gjt.sp.jedit.bufferset.BufferSetManager;Set;List;0.77
Jedit;org.gjt.sp.jedit.bufferset.BufferSetManager;Set;Map;0.82
Jedit;org.gjt.sp.jedit.gui.AboutDialog.AboutPanel;List;Map;0.88
Jedit;org.gjt.sp.jedit.gui.AboutDialog.AboutPanel;List;Set;0.88
Jedit;org.gjt.sp.jedit.gui.ActionBar;List;Map;0.96
Jedit;org.gjt.sp.jedit.gui.ActionBar;List;Set;0.79
Jedit;org.gjt.sp.jedit.gui.CheckBoxListModel;List;Map;0.88
Jedit;org.gjt.sp.jedit.gui.CheckBoxListModel;List;Set;0.88
Jedit;org.gjt.sp.jedit.gui.CompleteWord;Set;List;0.77
Jedit;org.gjt.sp.jedit.gui.CompleteWord;Set;Map;0.97
Jedit;org.gjt.sp.jedit.gui.ContextAddDialog;Set;List;0.75
Jedit;org.gjt.sp.jedit.gui.ContextAddDialog;Set;Map;1.0
Jedit;org.gjt.sp.jedit.gui.DefaultInputHandler;Map;List;0.75
Jedit;org.gjt.sp.jedit.gui.DefaultInputHandler;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.DockableWindowFactory.DockableListHandler;List;Map;0.98
Jedit;org.gjt.sp.jedit.gui.DockableWindowFactory.DockableListHandler;List;Set;0.88
Jedit;org.gjt.sp.jedit.gui.DockableWindowFactory;Map;List;0.88
Jedit;org.gjt.sp.jedit.gui.DockableWindowFactory;Map;Set;0.97
Jedit;org.gjt.sp.jedit.gui.DockableWindowFactory;Set;List;0.92
Jedit;org.gjt.sp.jedit.gui.DockableWindowFactory;Set;Map;1.0
Jedit;org.gjt.sp.jedit.gui.DockableWindowManager.KeyHandler;List;Map;0.88
Jedit;org.gjt.sp.jedit.gui.DockableWindowManager.KeyHandler;List;Set;0.88
Jedit;org.gjt.sp.jedit.gui.DockableWindowManager;Map;List;0.87
Jedit;org.gjt.sp.jedit.gui.DockableWindowManager;Map;Set;0.94
Jedit;org.gjt.sp.jedit.gui.DockableWindowManager;Set;List;0.83
Jedit;org.gjt.sp.jedit.gui.DockableWindowManager;Set;Map;1.0
Jedit;org.gjt.sp.jedit.gui.DockableWindowManagerImpl;List;Map;1.0
Jedit;org.gjt.sp.jedit.gui.DockableWindowManagerImpl;List;Set;0.83
Jedit;org.gjt.sp.jedit.gui.DockableWindowManagerImpl;Map;List;0.9
Jedit;org.gjt.sp.jedit.gui.DockableWindowManagerImpl;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.DockingLayoutManager;Map;List;0.86
Jedit;org.gjt.sp.jedit.gui.DockingLayoutManager;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.EditAbbrevDialog;Map;List;0.75
Jedit;org.gjt.sp.jedit.gui.EditAbbrevDialog;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.ErrorListDialog.ErrorEntry;List;Map;0.93
Jedit;org.gjt.sp.jedit.gui.ErrorListDialog.ErrorEntry;List;Set;0.92
Jedit;org.gjt.sp.jedit.gui.ExtendedGridLayout;List;Map;0.88
Jedit;org.gjt.sp.jedit.gui.ExtendedGridLayout;List;Set;0.85
