project;class;from;to;metric
JFreechart;org.jfree.chart.plot.CombinedDomainCategoryPlot;List;Set;0.46
JFreechart;org.jfree.chart.plot.CombinedDomainCategoryPlot;Map;List;1.0
JFreechart;org.jfree.chart.plot.CombinedDomainCategoryPlot;Map;Set;1.0
JFreechart;org.jfree.chart.plot.CombinedDomainXYPlot;List;Map;0.52
JFreechart;org.jfree.chart.plot.CombinedDomainXYPlot;List;Set;0.6
JFreechart;org.jfree.chart.plot.CombinedDomainXYPlot;Map;List;1.0
JFreechart;org.jfree.chart.plot.CombinedDomainXYPlot;Map;Set;1.0
JFreechart;org.jfree.chart.plot.CombinedRangeCategoryPlot;List;Map;0.52
JFreechart;org.jfree.chart.plot.CombinedRangeCategoryPlot;List;Set;0.6
JFreechart;org.jfree.chart.plot.CombinedRangeCategoryPlot;Map;List;1.0
JFreechart;org.jfree.chart.plot.CombinedRangeCategoryPlot;Map;Set;1.0
JFreechart;org.jfree.chart.plot.CombinedRangeXYPlot;List;Map;0.52
JFreechart;org.jfree.chart.plot.CombinedRangeXYPlot;List;Set;0.6
JFreechart;org.jfree.chart.plot.CombinedRangeXYPlot;Map;List;1.0
JFreechart;org.jfree.chart.plot.CombinedRangeXYPlot;Map;Set;1.0
JFreechart;org.jfree.chart.plot.ContourPlot;List;Map;0.73
JFreechart;org.jfree.chart.plot.ContourPlot;List;Set;0.0
JFreechart;org.jfree.chart.plot.FastScatterPlot;List;Map;1.0
JFreechart;org.jfree.chart.plot.FastScatterPlot;List;Set;0.0
JFreechart;org.jfree.chart.plot.MeterPlot;List;Map;0.73
JFreechart;org.jfree.chart.plot.MeterPlot;List;Set;0.0
JFreechart;org.jfree.chart.plot.MultiplePiePlot;List;Map;1.0
JFreechart;org.jfree.chart.plot.MultiplePiePlot;List;Set;0.0
JFreechart;org.jfree.chart.plot.MultiplePiePlot;Map;List;0.55
JFreechart;org.jfree.chart.plot.MultiplePiePlot;Map;Set;1.0
JFreechart;org.jfree.chart.plot.PieLabelDistributor;List;Map;0.0
JFreechart;org.jfree.chart.plot.PieLabelDistributor;List;Set;0.0
JFreechart;org.jfree.chart.plot.PiePlot3D;List;Map;0.66
JFreechart;org.jfree.chart.plot.PiePlot3D;List;Set;0.6
JFreechart;org.jfree.chart.plot.PiePlot;List;Map;0.93
JFreechart;org.jfree.chart.plot.PiePlot;List;Set;0.0
JFreechart;org.jfree.chart.plot.PiePlot;Map;List;0.55
JFreechart;org.jfree.chart.plot.PiePlot;Map;Set;1.0
JFreechart;org.jfree.chart.plot.PlotRenderingInfo;List;Map;0.39
JFreechart;org.jfree.chart.plot.PlotRenderingInfo;List;Set;0.6
JFreechart;org.jfree.chart.plot.PolarPlot;List;Map;0.66
JFreechart;org.jfree.chart.plot.PolarPlot;List;Set;0.0
JFreechart;org.jfree.chart.plot.SpiderWebPlot;List;Map;1.0
JFreechart;org.jfree.chart.plot.SpiderWebPlot;List;Set;0.0
JFreechart;org.jfree.chart.plot.XYPlot;List;Map;0.65
JFreechart;org.jfree.chart.plot.XYPlot;List;Set;0.46
JFreechart;org.jfree.chart.plot.XYPlot;Map;List;0.54
JFreechart;org.jfree.chart.plot.XYPlot;Map;Set;0.81
JFreechart;org.jfree.chart.plot.XYPlot;Set;List;0.0
JFreechart;org.jfree.chart.plot.XYPlot;Set;Map;1.0
JFreechart;org.jfree.chart.plot.dial.AbstractDialLayer;List;Map;1.0
JFreechart;org.jfree.chart.plot.dial.AbstractDialLayer;List;Set;0.0
JFreechart;org.jfree.chart.plot.dial.DialPlot;List;Map;0.65
JFreechart;org.jfree.chart.plot.dial.DialPlot;List;Set;0.69
JFreechart;org.jfree.chart.renderer.AbstractRenderer;List;Map;1.0
JFreechart;org.jfree.chart.renderer.AbstractRenderer;List;Set;0.0
JFreechart;org.jfree.chart.renderer.DefaultPolarItemRenderer;List;Map;1.0
JFreechart;org.jfree.chart.renderer.DefaultPolarItemRenderer;List;Set;0.0
JFreechart;org.jfree.chart.renderer.LookupPaintScale;List;Map;0.39
JFreechart;org.jfree.chart.renderer.LookupPaintScale;List;Set;0.82
JFreechart;org.jfree.chart.renderer.OutlierList;List;Map;0.97
JFreechart;org.jfree.chart.renderer.OutlierList;List;Set;0.0
JFreechart;org.jfree.chart.renderer.OutlierListCollection;List;Map;0.97
JFreechart;org.jfree.chart.renderer.OutlierListCollection;List;Set;0.0
JFreechart;org.jfree.chart.renderer.WaferMapRenderer;Map;List;0.66
JFreechart;org.jfree.chart.renderer.WaferMapRenderer;Map;Set;0.98
JFreechart;org.jfree.chart.renderer.WaferMapRenderer;Set;List;0.0
JFreechart;org.jfree.chart.renderer.WaferMapRenderer;Set;Map;0.97
JFreechart;org.jfree.chart.renderer.category.AbstractCategoryItemRenderer;List;Map;1.0
JFreechart;org.jfree.chart.renderer.category.AbstractCategoryItemRenderer;List;Set;0.0
