"project";"class";"from";"to";"category";"metric"
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Map";"other";0.93
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"access";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"other";0.87
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"access";1.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.game.db.RPObjectDAO";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.RPObjectDAO";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Map";"other";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"search";1.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"access";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"other";0.8
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"search";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"access";1.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"search";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"access";0.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"other";0.87
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"search";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"access";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"other";0.85
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Map";"other";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"search";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"other";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Set";"search";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"Map";"List";"other";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"Map";"Set";"other";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"Set";"List";"deletion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"Set";"List";"insertion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"Set";"List";"other";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"Set";"Map";"deletion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"Set";"Map";"insertion";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"Set";"Map";"other";0.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"Map";"List";"access";0.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"Map";"Set";"access";1.0
"Marauroa";"marauroa.server.db.adapter.AbstractDatabaseAdapter";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.net.Decoder.MessageParts";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.net.Decoder.MessageParts";"List";"Map";"other";0.93
"Marauroa";"marauroa.common.net.Decoder.MessageParts";"List";"Set";"insertion";0.75
"Marauroa";"marauroa.common.net.Decoder.MessageParts";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.game.db.AccountDAO";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.AccountDAO";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Map";"access";0.0
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Map";"other";0.87
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Set";"access";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.net.nio.NioServer";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Map";"List";"search";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Map";"List";"access";0.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Map";"Set";"search";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Map";"Set";"access";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Set";"List";"other";0.0
"Marauroa";"marauroa.server.net.nio.NioServer";"Set";"Map";"other";1.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"List";"access";0.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"List";"other";1.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"Set";"access";1.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.rp.RPScheduler";"Map";"Set";"other";1.0
"Marauroa";"marauroa.client.ClientFramework";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.client.ClientFramework";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.client.ClientFramework";"List";"Map";"other";0.0
"Marauroa";"marauroa.client.ClientFramework";"List";"Set";"deletion";0.0
