"project";"class";"from";"to";"category";"metric"
"Quickserver";"org.quickserver.net.qsadmin.gui.QSAdminMain";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.qsadmin.gui.PropertieSet";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.PropertieSet";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.qsadmin.gui.PropertieSet";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.PropertieSet";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"Set";"List";"deletion";0.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"Set";"List";"insertion";0.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"Set";"List";"other";0.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"Set";"Map";"deletion";0.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"Set";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.pool.BasicObjectPool";"Set";"Map";"other";0.92
"Quickserver";"org.quickserver.net.server.impl.OptimisticClientIdentifier";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.server.impl.OptimisticClientIdentifier";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.net.server.impl.OptimisticClientIdentifier";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.server.impl.OptimisticClientIdentifier";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.qsadmin.gui.PropertiePanel";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.PropertiePanel";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.xmlreader.ServerHooks";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.xmlreader.ServerHooks";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.util.xmlreader.ServerHooks";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.xmlreader.ServerHooks";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Map";"access";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Map";"deletion";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Map";"other";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Set";"access";1.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Set";"deletion";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferInputStream";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Map";"access";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Map";"deletion";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Map";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Set";"access";1.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Set";"deletion";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Map";"List";"access";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Map";"Set";"access";1.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"List";"search";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"List";"deletion";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"List";"insertion";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"List";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"Map";"search";1.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"Map";"deletion";0.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.server.impl.BasicClientHandler";"Set";"Map";"other";0.0
