"project";"class";"from";"to";"category";"metric"
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Set";"other";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Set";"List";"search";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Set";"List";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Set";"Map";"search";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Set";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"Set";"List";"search";0.75
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"Set";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"Set";"List";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"Set";"Map";"search";1.0
"Jedit";"org.gjt.sp.jedit.browser.VFSDirectoryEntryTable";"Set";"Map";"deletion";0.8
